Country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Happiness score,EPI.new,HLT.new,AIR.new,H2O.new,COE.new,BDH.new,Population (2020)
Afghanistan,0.0,29.47282210972652,0.0,13.751376060855222,0.0,28.184899592082814,73.83828036842131,0.0,41.86440677966102,5.5222088835534215,10.852713178294575,24.31578947368421,42.7,29.225352112676056,39074280.0
Albania,60.966320193841625,67.22911308639343,65.54096690428086,76.67768634440688,73.45779179823458,29.983630361736264,87.93460849434044,51.59682481078087,47.79661016949152,34.33373349339736,35.21594684385382,51.68421052631579,61.5,68.1924882629108,2877239.0
Algeria,61.0408365488818,62.027231100758,80.95507527206378,65.34653232664488,32.18696925019148,24.29715778150476,71.16499439156323,50.17537382314934,18.135593220338983,36.734693877551024,37.32004429678848,50.84210526315789,39.9,19.83568075117371,43984569.0
Argentina,77.23221401339738,73.5411823737162,87.90992582053411,68.20682526184186,77.3415558872295,22.61827793317957,83.48312700422055,65.77441388222263,37.627118644067785,53.9015606242497,51.27353266888151,62.94736842105262,66.2,42.95774647887324,45267449.0
Armenia,63.598716190288485,67.9060786859911,77.05054912027411,71.17713592006476,71.31584072787967,19.407350088181538,70.26507085842928,55.288905298135504,49.830508474576256,35.174069627851146,29.2358803986711,55.05263157894736,53.2,79.22535211267606,2964219.0
Australia,89.23183203942578,87.35058937746706,94.29967038898356,85.25853157730234,82.18172167038537,56.25749029232425,50.24305532890152,87.83459479416653,69.83050847457625,90.03601440576232,94.57364341085272,86.42105263157895,60.5,89.55399061032864,25550683.0
Austria,88.6781657595093,88.75081096140673,85.65741154068903,85.91860434276248,82.47388067609009,54.53075000046385,47.60654108080118,87.85305519660331,80.67796610169489,84.39375750300121,76.74418604651163,94.42105263157896,52.9,94.13145539906104,9015361.0
Bahrain,75.87021981344843,86.07566460520678,81.88488341897353,61.93618434901367,97.66581595324809,51.894772783940326,47.668188902767355,78.32748753922837,39.15254237288135,40.69627851140456,32.11517165005537,54.315789473684205,32.8,11.150234741784038,1711057.0
Bangladesh,32.97690934062251,52.74569618666536,23.19508893273724,56.87570481677534,84.01011975582605,31.325888159383005,59.237188255558735,50.784567103562864,7.118644067796609,8.043217286914768,9.634551495016613,23.578947368421048,0.0,37.08920187793427,164972348.0
Belgium,86.4739355919039,87.75627142836257,91.79622986289009,84.92851198092,88.29574754297212,49.49055932368609,42.48187884156786,81.24423112423851,66.61016949152543,79.83193277310926,76.30121816168327,93.26315789473684,54.3,89.90610328638499,11598451.0
Benin,45.536272690219946,42.80072309959792,18.169245227110174,20.462054293091654,58.52268518658677,34.331151193615604,54.561163551765205,40.96363300719956,18.135593220338983,12.965186074429774,18.383167220376524,8.94736842105263,29.1,67.84037558685446,12175480.0
Bolivia,72.08138560041326,57.193201287404406,78.6816997099963,52.80528407368405,84.08362623911,28.276687562771457,87.2747224272214,58.99944618792689,35.9322033898305,29.29171668667467,26.910299003322255,36.94736842105263,53.0,90.14084507042251,11700207.0
Bosnia and Herzegovina,69.28878979423231,67.76697295210596,83.49852093075748,68.42686070789375,66.13176672893121,71.06537807591704,97.4002649621892,62.10079379730479,34.745762711864394,31.932773109243698,24.473975636766337,59.47368421052631,57.0,33.21596244131456,3277152.0
Brazil,77.17151232203474,66.96780699224081,84.27254697998377,62.37625524111746,78.11739037856242,30.617778562517557,74.93853687834995,71.79250507661068,41.86440677966102,41.53661464585835,43.41085271317829,43.36842105263158,54.5,84.97652582159625,212821986.0
Bulgaria,63.54297683261304,75.61026873992336,95.76516758697974,65.34653232664488,63.14860843265892,20.49837266999013,100.0,54.77201402990586,55.9322033898305,38.17527010804322,25.35991140642303,66.73684210526316,53.7,81.33802816901408,6939018.0
Burkina Faso,52.022013237635235,35.42460832821885,56.7453760560261,17.161724038486398,46.68215711859429,45.94947434329127,74.20994790478488,41.831271921727904,28.135593220338976,11.404561824729893,22.591362126245848,2.947368421052631,46.6,85.32863849765259,20997293.0
Cambodia,46.04738566456861,47.356572722468115,73.40688353379724,45.54455079901334,97.83706870192027,56.33287312235132,89.71474920586815,41.2774598486247,18.983050847457623,19.447779111644664,22.36987818383167,30.84210526315789,36.9,70.42253521126761,16758448.0
Cameroon,53.21467427151083,44.28720744105425,52.98703644234783,21.01210933552588,51.829901718885125,40.91528785344153,88.41451883267082,48.809304042828145,19.15254237288135,3.4813925570228115,8.305647840531561,2.947368421052631,28.8,42.48826291079813,26655083.0
Canada,87.42095001511903,86.52801236829035,92.63801568870056,86.68866125855305,79.5552474284336,64.40803444596062,37.287357799226626,85.30551966032861,52.71186440677965,89.43577430972391,91.140642303433,87.47368421052632,56.4,67.01877934272301,37799407.0
Chile,79.62383698770815,75.8723254889637,87.04186643875245,82.28822091907944,71.97394778456263,36.569654535979026,81.77091111983252,69.55879638176113,47.1186440677966,55.942376950780314,47.286821705426355,66.42105263157895,8.2,65.14084507042254,19144605.0
China,71.0574956799132,69.67778060750345,82.97688645953693,74.80748577105237,85.73353597064585,40.534827031604195,,58.72254015137531,16.101694915254235,25.690276110444177,16.500553709856035,57.368421052631575,0.0,4.225352112676058,1440297825.0
Colombia,71.50490441822416,67.77132049499747,85.7449139053583,78.21783374868352,72.9386951489152,18.511594262469984,90.08591547960164,62.34077902898284,39.830508474576256,46.698679471788715,42.414174972314505,53.57894736842105,41.5,84.03755868544603,50976248.0
Costa Rica,89.88263729546898,73.3186913927174,89.00416624937212,80.30803619539444,91.70514050899504,32.256634809419566,76.01768798709332,77.1275613808381,46.44067796610168,52.82112845138056,50.60908084163898,64.42105263157896,68.2,73.59154929577466,5102158.0
Croatia,66.65015945009799,80.86890336280098,90.1112401482782,76.45765089835498,38.112556550241024,12.42243172086081,91.64740842450782,68.6911574672328,70.0,53.181272509003605,44.40753045404208,68.73684210526316,50.3,88.84976525821597,4100719.0
Cyprus,71.08684074708266,83.82115084308319,78.15792238803385,93.50935721381546,55.87647197136435,33.52461588189598,93.1846163172171,70.46335610116301,66.27118644067795,74.90996398559425,69.32447397563676,93.6842105263158,67.3,85.09389671361502,1208886.0
Denmark,97.14576328281667,89.65897826642978,98.0841811429726,86.35864166217073,95.01021764337244,64.71613281764584,7.305863555152467,96.584825549197,100.0,88.95558223289316,82.83499446290143,97.36842105263158,65.2,83.45070422535213,5795780.0
Dominican Republic,65.71532530047864,71.28310300087585,78.27357330307346,56.545651647697525,82.10128232685761,27.848723997437272,64.14547711383528,61.52852132176483,39.49152542372881,25.930372148859547,30.78626799557032,35.78947368421052,62.5,87.91079812206574,10866667.0
Ecuador,71.43387131082429,61.71253467771456,78.89706408768279,77.00770594078921,66.06540502738326,28.30739981294697,90.48108250732392,57.762599224663106,46.77966101694914,42.617046818727495,42.5249169435216,47.68421052631578,47.8,81.45539906103288,17688599.0
Egypt,42.5311100328163,63.57964796318788,71.50547377238338,52.80528407368405,61.65289681542545,13.012956127314247,54.666002256766674,34.77939819088057,28.135593220338976,24.129651860744303,32.00442967884828,33.36842105263158,15.1,43.07511737089202,102659126.0
El Salvador,80.81739286864209,59.16765822182526,71.92376296407467,62.486239391447896,92.3886276872402,24.44750240809732,59.767516636635506,68.59885545504893,37.1186440677966,33.493397358943575,34.330011074197124,38.63157894736842,37.0,30.046948356807512,6491923.0
Estonia,78.72298484001512,82.72338062433062,93.197236707309,79.75798115296021,90.67649376900351,54.13562615311431,30.798105309555215,72.6786043935758,72.03389830508473,72.50900360144058,76.30121816168327,59.89473684210525,59.1,94.13145539906104,1326693.0
Ethiopia,36.397329103393744,36.58093744753725,67.66604459000601,41.14411045953966,51.68636022818899,81.13398298082842,81.35781086040478,33.91175927635223,21.864406779661017,16.686674669867948,31.0077519379845,6.31578947368421,24.4,62.676056338028175,115434444.0
Finland,100.0,86.70554224924194,98.62461282695094,85.69856889671058,99.93056039106575,50.11353185132409,5.682421656625483,100.0,97.6271186440678,98.43937575030014,97.23145071982282,100.0,64.5,76.64319248826291,5542237.0
France,82.70411503000095,85.43771742112827,84.23354236960495,90.86909972467032,72.78049070926085,34.89229691986192,48.68156238399536,79.06590363669929,73.89830508474574,87.03481392557025,84.49612403100775,96.10526315789474,56.7,94.71830985915494,65298930.0
Gabon,59.83859843285286,65.79781751782983,72.30269302963941,30.033008674177324,56.02358585292849,18.205290635116853,82.57153976302287,47.14786782351857,52.20338983050846,21.608643457382954,22.148394241417495,23.89473684210526,42.3,93.07511737089202,2234448.0
Georgia,62.21547491927656,69.19690795868553,69.55920595168918,58.63585409440845,76.61594678954077,7.611239538210501,64.04454376842925,47.42477386007015,34.23728813559321,31.332533013205285,24.58471760797342,49.1578947368421,61.9,40.610328638497656,3987805.0
Germany,82.61726309733005,88.08846749347654,90.880972617893,86.90869670460495,89.1986441061101,47.57258063825533,34.09627874780929,85.47166328225957,73.72881355932202,84.75390156062426,76.96566998892581,99.05263157894736,56.3,97.06572769953053,83830972.0
Ghana,45.12572277619644,50.64694331374881,52.86182935837476,32.453247503618286,70.78107197963939,51.91830784082765,95.89088836774616,45.560273213956066,14.915254237288131,10.92436974789916,10.6312292358804,16.736842105263154,32.8,55.28169014084507,31181428.0
Greece,71.64056619044102,79.31809728065105,85.52861990859995,85.91860434276248,32.8759159297349,0.0,91.5475673827434,65.42366623592396,63.22033898305085,72.14885954381754,62.34772978959026,98.10526315789474,59.8,74.29577464788733,10413936.0
Guinea,62.59914244439861,38.912753024455014,46.76285072809165,12.76128369901275,61.09536164402638,54.5452114294457,78.50163883889097,45.911020860254766,21.525423728813557,9.723889555822328,16.943521594684384,6.631578947368422,24.9,64.31924882629109,13191279.0
Honduras,72.12669740145843,51.13253883290213,66.13907436135221,55.115521966446806,81.7453147690106,47.612701915873515,86.52223744111264,66.78973601624517,29.830508474576263,22.328931572629052,28.349944629014395,28.210526315789473,52.6,64.43661971830987,9931333.0
Hungary,71.03141939290728,81.29433702043025,93.68976149657642,69.96700811217039,68.92920106606601,36.869261768848645,88.27946222076143,67.97120177219865,61.35593220338982,43.45738295318128,35.991140642303435,60.21052631578947,53.1,84.74178403755869,9655983.0
Iceland,95.6542233314546,88.68841277386298,100.0,89.43893647072412,96.04663483807684,64.45217159782483,68.72164581280083,95.1264537566919,74.40677966101694,100.0,100.0,100.0,73.7,60.093896713615024,341628.0
India,41.07719063505576,54.49487846154534,50.203008519111904,41.58416456529574,88.84464439069038,48.599582049359675,78.55079250276448,25.3461325456895,0.0,1.320528211284513,2.325581395348838,15.26315789473684,0.0,0.0,1382345085.0
Indonesia,66.7431274035726,63.931626912322656,80.07828692476006,50.27502752121711,90.55797919738268,100.0,89.96884447012025,52.35370131068858,15.762711864406777,16.686674669867948,17.497231450719823,24.73684210526316,17.4,53.28638497652583,274021604.0
Iran,57.31825059988495,67.41191319020274,75.58356295613746,66.00660509210502,34.17066542339391,63.22410976042625,77.9656095305887,45.85563965294443,26.44067796610169,36.61464585834334,39.756367663344406,51.26315789473684,6.9,25.23474178403756,84176929.0
Iraq,59.12776446959836,58.60868618739491,66.35029484385404,52.365246754275745,38.27861217660528,38.78124747335322,94.85549673845428,46.83404098209341,15.084745762711862,28.33133253301321,28.90365448504983,47.05263157894737,19.7,26.40845070422536,40372771.0
Ireland,86.67539450691477,100.0,89.59509673208369,86.46865938519664,89.16268809293865,54.67707340069012,26.720150516449213,85.60088609931698,65.25423728813558,92.31692677070828,92.35880398671095,97.26315789473684,71.0,63.145539906103295,4947267.0
Israel,98.96706546832348,84.70626678759507,95.88302437778302,92.84928444835532,68.83529966203568,37.30048639221637,63.98514040600067,91.5635960863947,49.66101694915253,77.55102040816327,68.9922480620155,92.52631578947368,13.7,39.78873239436621,8678517.0
Italy,77.19318093262106,84.59388749544232,84.74227246760788,89.65897191677601,57.927105061593466,41.269569224965885,84.5714878785999,75.0046151006092,65.76271186440678,78.63145258103243,70.54263565891473,98.21052631578948,48.9,82.981220657277,60446035.0
Jamaica,71.17109688374134,60.205376049558254,84.56741742269614,65.34653232664488,85.6509168631986,27.396169223481568,95.985679375551,63.614546797120184,45.25423728813559,36.49459783913566,37.76301218161683,46.73684210526315,67.1,55.633802816901415,2963429.0
Japan,75.94519468516313,83.78613592029862,88.61313537961794,100.0,71.19029238101868,9.690033381530965,62.517922243205646,67.1035628576703,64.91525423728814,85.35414165666268,81.06312292358804,94.84210526315788,51.6,88.02816901408451,126407422.0
Jordan,47.6809178764281,59.1592915475556,72.1724045532821,69.74697266611855,66.20617135568196,19.57262534630003,71.50195510194365,32.26878345947942,41.86440677966102,48.979591836734706,49.83388704318937,60.73684210526316,23.0,21.478873239436624,10220604.0
Kazakhstan,73.2817674634534,76.4185520289459,91.88089610157743,63.58634947631634,87.11888694795712,40.566778966638296,72.2028474448147,70.70334133284106,37.288135593220325,31.332533013205285,25.35991140642303,52.8421052631579,60.2,50.23474178403757,18815231.0
Kenya,49.11305033671856,48.74519043293475,61.113876662198805,31.463155141775815,57.15796123451332,73.12089198008326,91.98558862457034,39.48680081225771,20.169491525423723,17.767106842737096,26.910299003322255,9.157894736842104,13.8,47.652582159624416,53968739.0
Kyrgyzstan,68.03280908669117,49.031737297687755,92.35638837869809,68.75688030427608,98.19557931767336,66.13692093805113,91.78205355216863,63.20841794351118,28.474576271186443,21.248499399759908,19.712070874861578,42.73684210526316,59.3,26.643192488262912,6542426.0
Laos,56.5354369141606,56.42919099811533,55.73421048407453,41.14411045953966,94.58593063304984,42.69743998453451,65.65863936336505,50.507661067011256,19.999999999999993,15.366146458583431,18.715393133997782,22.73684210526316,0.0,81.10328638497654,7293542.0
Latvia,74.03488110135704,80.02299349753025,92.50431598303724,64.90649500723663,75.96906148044317,40.152647510143694,87.77490023517636,69.70647960125531,71.52542372881354,54.6218487394958,50.27685492801772,56.94736842105263,55.6,92.1361502347418,1882408.0
